PEARSALL,418102
LINDEN,411102
WHEELER,418802
MIDLAND,419202
DAYTON,415201
HUNTSVILLE,414102
SANTA ANA NWR,418602
GILMER,411401
THE BOWL,417103
BRAZORIA,418301
VICTORIA,418202
ZAVALLA,413503
CHISOS,417403
PALESTINE,412601
CONROE,415109
BALCONES CANYONLANDS,417902
GAIL,419101
MCGREGOR,419802
MATADOR WMA,418902
CAPROCK SP,418901
PINERY,417101
LAGUNA ATASCOSA,418603
COLEMAN,419502
HEBBRONVILLE,418401
ROUND PRAIRIE,413101
SABINE NORTH,412901
ARANSAS,418502
LA PUERTA,418604
TEXARKANA,410501
GRANBURY,419702
PX WELL,417105
ATHENS,412101
COLDSPRINGS,414201
ELEPHANT MTN. WMA,417404
LINN-SAN MANUEL,418605
NEASLONEY WMA,416401
MCFADDIN NWR,419901
BARNHART,417701
SABINE SOUTH,413701
LBJ,419601
PANTHER JUNCTION,417401
BIRD,417901
LUFKIN,413509
COMANCHE,419403
TEMPLE,419801
COLORADO BEND_SP,419501
GEORGE WEST,418201
CEDAR HILL S.P.,419701
BOOTLEG,418801
FORT DAVIS,417201
CLARKSVILLE,410401
GUADALUPE RIVER SP,418101
ANAHUAC NWR,416099
WOODVILLE,414402
JAYTON,419001
LAGRANGE,415602
PAINT CREEK,419203
MERRILL,418002
MASON,417801
RATCLIFF,413302
CADDO,410202
HENDERSON,412202
POSSUM KINGDOM_SP,419402
SOUTH AUSTIN,417905
EAST AUSTIN,417904
GREENVILLE,419602
LUMBERJACK,412801
LOST MAPLES SNA,417802
HAMBY,419401
BALCONES FLYING X,417903
ATTWATER,416601
MILLER CREEK,419301
KIRBYVILLE,414501
CEDAR,418701
SOUTHERN ROUGH,416101
CADDO LAKE NWR,411901
BASTROP,415501
SAN BERNARD,418302
KICKAPOO CAVERNS SP,418001
